word,coefficient,abs_coef
capsiz,0.6922076812008766,0.6922076812008766
materi,0.6914646364463851,0.6914646364463851
mid,0.6900212243005975,0.6900212243005975
tram,0.6885047366186591,0.6885047366186591
udhampur,0.6875246863555954,0.6875246863555954
highway,0.6860375585643501,0.6860375585643501
metro,0.6849775901396661,0.6849775901396661
yobe,0.6847915160963892,0.6847915160963892
deputi,0.6826245137620063,0.6826245137620063
peopl,0.6823204403760729,0.6823204403760729
islam,0.6812863709279599,0.6812863709279599
refugio,0.6807191157671383,0.6807191157671383
costlier,0.6807191157671383,0.6807191157671383
wave,0.6802926080356402,0.6802926080356402
wing,0.679925622972007,0.679925622972007
milit,0.6790733892519779,0.6790733892519779
seriou,0.678986661209439,0.678986661209439
remind,0.6754967365603923,0.6754967365603923
individu,0.6752997484661383,0.6752997484661383
ferguson,0.6737521714978321,0.6737521714978321
horrif,0.6702553483395177,0.6702553483395177
drone,0.6694076872495349,0.6694076872495349
india,0.6690027027650601,0.6690027027650601
strike,0.6689772290189849,0.6689772290189849
sick,0.6666272714272957,0.6666272714272957
giant,0.6660604914980027,0.6660604914980027
co,0.6660054122423393,0.6660054122423393
six,0.6659333845417026,0.6659333845417026
pakistani,0.6657833523020827,0.6657833523020827
delay,0.6647601488065953,0.6647601488065953
express,0.6641762555273414,0.6641762555273414
lane,0.663653888193527,0.663653888193527
photographi,0.6631436661647412,0.6631436661647412
brutal,0.6628012760943912,0.6628012760943912
sunset,0.6614222026970702,0.6614222026970702
diseas,0.6599393976862066,0.6599393976862066
sign,0.6597745573708996,0.6597745573708996
here,0.6594155595416747,0.6594155595416747
sharethi,0.6593758801509801,0.6593758801509801
gunman,0.6584108200566329,0.6584108200566329
hwo,0.6581598073869903,0.6581598073869903
michaelnumso,0.6563111782967191,0.6563111782967191
watch,0.6545279828888755,0.6545279828888755
research,0.6536522511950787,0.6536522511950787
ryan,0.6528903088918669,0.6528903088918669
templ,0.6519660222312352,0.6519660222312352
dig,0.6517879498933932,0.6517879498933932
rage,0.6493242863248052,0.6493242863248052
